INDTITLE,IND_2000
Talc (ext.),047
Talc ground (mfg.),259
Talent agency,856
Talent payment services,728
Tallat driers (mfg.),227
Tallow (mfg.),118
Tallow rendering (mfg.),118
Tamale shop,868
Tamales (mfg.),109
"Tamping equipment, rail (mfg.)",308
Tanbark gathering,019
Tank and boiler cleaning service,077
Tank car (mfg.),367
Tank car leasing co.,719
Tank cleaning service,779
"Tank engine parts, military (mfg.)",318
"Tank engines, military (mfg.)",318
"Tank farm, oil field (ext.)",037
Tank freight car equipment (mfg.),367
Tank freight cars (mfg.),367
Tank towers (mfg.),287
Tank truck cleaning service,779
Tanker line,609
"Tanker, trucking",617
Tankers (mfg.),368
"Tankers, building (mfg.)",368
"Tankers, oil ships",609
"Tankers, repairing (mfg.)",368
Tanks (const.),077
"Tanks, aircraft fuel (mfg.)",358
"Tanks, army (mfg.)",369
"Tanks, brewers' (mfg.)",319
"Tanks, concrete (mfg.)",257
"Tanks, film developing (mfg.)",309
"Tanks, flush, china pottery (mfg.)",247
"Tanks, fuel, for motor vehicles (mfg.)",357
"Tanks, iron and steel (mfg.)",287
"Tanks, malsters' (mfg.)",319
"Tanks, metal, glass lined (mfg.)",287
"Tanks, photographic (mfg.)",309
"Tanks, sheet metal (mfg.)",287
"Tanks, tank trucks (mfg.)",287
"Tanks, wooden (mfg.)",387
Tanned furs (mfg.),179
Tannery (mfg.),179
Tannery machines (mfg.),319
Tannic acid (mfg.),229
"Tanning agents, synthetic (mfg.)",229
Tanning extracts (mfg.),229
Tanning furs (mfg.),179
Tanning machinery (mfg.),319
Tanning materials (mfg.),229
Tanning salons,899
"Tanning, leather (mfg.)",179
Tantalite (ext.),039
Tantalum (ext.),039
Tantalum (mfg.),269
Tanyard (mfg.),179
"Tape cleaners, magnetic, computer (mfg.)",339
Tape dispensers (mfg.),398
Tape measures (mfg.),279
"Tape print units, computer (mfg.)",336
Tape recorders (mfg.),337
Tape recorders and players (ret.),479
"Tape recorders, computer (mfg.)",336
Tape recording service,659
"Tape storage units, computer (mfg.)",336
"Tape stores, audio or video (ret.)",529
"Tape, adhesive, cellophane (mfg.)",189
"Tape, adhesive, medical (mfg.)",396
"Tape, asbestos (mfg.)",259
"Tape, audio, pre-recorded (whsl.)",429
"Tape, blank (mfg.)",339
"Tape, cellophane (mfg.)",189
"Tape, fabric (mfg.)",148
"Tape, friction (mfg.)",239
"Tape, gummed (mfg.)",189
"Tape, gummed (whsl.)",437
"Tape, hook-and-eye (mfg.)",398
"Tape, magnetic recording (mfg.)",339
"Tape, masking (mfg.)",189
"Tape, plastic coated (mfg.)",149
"Tape, pre-recorded, magnetic (mfg.)",339
"Tape, pressure sensitive (mfg.)",189
"Tape, snap fastener (mfg.)",398
"Tape, surveyors' (mfg.)",338
"Tape, telegraph, paper (mfg.)",189
"Tape, textile (mfg.)",148
"Tape, video cassettes, pre-recorded (mfg.)",339
"Tape, video recording, pre-recorded (mfg.)",339
"Tapes and disks, recorded, reproduction (mfg.)",339
"Tapes, CDs, and records by mail order (ret.)",559
Tapestry fabrics (mfg.),148
Tapioca (mfg.),107
Tapping machines (mfg.),317
Taproom (ret.),869
"Taps, current (mfg.)",349
"Taps, machine tool (mfg.)",317
"Taps, shoe (mfg.)",179
Tar and asphalt paving mixtures (mfg.),209
Tar from petroleum (mfg.),207
Tar mixtures (mfg.),209
Tar oils (mfg.),229
Tar paper (mfg.),189
Tar roofing paper (mfg.),209
Tar shingles (mfg.),209
"Target drones, aircraft (mfg.)",358
"Target shooting equip., exc. ammunition and firearms (mfg.)",397
"Targets, aircraft (mfg.)",358
"Targets, archery (mfg.)",397
"Targets, clay (mfg.)",397
Tarpaulins (mfg.),159
Tartaric acid (mfg.),229
Tartrates (mfg.),229
Tatting thread (mfg.),147
Tattooing shop,899
Tavern (ret.),869
Tax accounting service,728
Tax certificate dealers,697
"Tax collection agency, exc. GOV",759
Tax consultation service,728
"Tax leins, buying",697
"Tax leins, holding co.",697
"Tax leins, selling",697
"Tax liens, dealing",697
Tax preparation,728
Tax preparation school,788
Tax return preparation service,728
Tax title dealers,697
Taxi,619
Taxi transportation,619
Taxicab co.,619
Taxicab dispatch service,619
Taxicab service co.,619
Taxicabs (mfg.),357
Taxicabs (whsl.),407
Taxidermist's shop,856
Taxidermy,856
Taximeters (mfg.),338
Taxpayers' advocacy organizations,917
Taxpayers' association,917
Tea (ret.),498
Tea (whsl.),447
"Tea bags, fabric (mfg.)",159
Tea blending (mfg.),128
"Tea house, restaurant (ret.)",868
Tea packing (mfg.),128
Tea room (ret.),868
Tea wagons (mfg.),389
"Teabags, paper (mfg.)",187
"Teaberries, gathering of",019
Teachers' agency,758
Teachers' college,787
Teachers' employment service,758
Teachers' retirement fund,697
"Teaching machines, electric (flight simulators, etc.) (mfg.)",309
"Teaching machines, electric or electronic (mfg.)",309
"Teaching machines, electronic (whsl.)",419
"Teakettles, electric (mfg.)",347
"Teakettles, glass (mfg.)",249
"Teakettles, metal, exc. electric (mfg.)",279
Teaming business or co.,617
Tear gas (mfg.),229
Tear gas devices (mfg.),396
Tear gas equipment (mfg.),396
Technical college,787
Technical glass (mfg.),249
Technical institute,787
Technical manuals and papers printing or publishing (mfg.),648
Technical school,787
Technological institute,787
"Tedders, hay (mfg.)",307
Teen outreach services,837
Teen shops (ret.),517
Teenage canteen,859
"Teeth, artificial (mfg.)",396
"Teething rings, exc. rubber (mfg.)",398
"Teething rings, rubber (mfg.)",239
Telautograph instruments (mfg.),337
Telechecking,689
Telecommunications \ n.s.,668
Telecommunications equipment (mfg.),337
Telecommunications systems operation,668
"Telecommunications, cellular or paging",669
"Telecommunications, exc. cellular or paging",668
Telecredit service,689
Telegraph apparatus (mfg.),337
Telegraph cable service,668
Telegraph co.,668
Telegraph equipment (mfg.),337
Telegraph line repair,879
Telegraph office,668
"Telegraph service, florist",759
"Telegraph tape, paper (mfg.)",189
Telemarketing (ret.),569
"Telemarketing, exc. retail",759
"Telemetering equipment, electronic (mfg.)",337
Telephone (mfg.),337
Telephone and telegraph co.,668
Telephone answering service,759
Telephone apparatus (mfg.),337
Telephone beeper service,669
Telephone booth cleaning and maintenance,769
Telephone booths (mfg.),389
Telephone cable service,668
"Telephone cable, nonferrous (mfg.)",349
Telephone call centers,759
Telephone center (ret.),479
Telephone co.,668
Telephone communications,668
Telephone counseling services,837
Telephone directories printing or publishing (mfg.),648
"Telephone directory distribution, exc. by telephone co.",747
Telephone disinfecting service,769
Telephone equipment (mfg.),337
"Telephone equipment repair, exc. retail store",879
Telephone exchange,668
Telephone installation,077
Telephone line construction,077
Telephone line maintenance,668
Telephone message service,759
Telephone office,668
Telephone pay station,668
"Telephone poles, exc. treated",027
"Telephone poles, treated (mfg.)",377
Telephone repair,879
Telephone repair \ n.s.,668
"Telephone repair, telephone co.",668
Telephone sales and service (ret.),479
Telephone service \ n.s.,668
"Telephone service, long distance",668
Telephone sets (mfg.),337
Telephone solicitation service,759
Telephone stands (mfg.),389
Telephone store (ret.),479
Telephone survey co.,749
"Telephone, inc. cellular (ret.)",479
"Telephone, wire or radio",668
Telephones (mfg.),337
Teleprinter (mfg.),336
Telescope sights (mfg.),309
Telescopes (mfg.),309
Telescopes (ret.),558
Teletypewriters (mfg.),337
Television advertising service,747
Television and radio (ret.),479
"Television and radio repair, exc. at retail stores",879
Television announcer service,856
Television antenna (mfg.),337
Television broadcasting,667
Television cable engineering service,729
Television cameras (whsl.),417
"Television chassis, metal (mfg.)",278
Television commercials production,657
Television employment agency,758
Television film production,657
Television monitors (mfg.),337
Television network,667
Television picture tube rebuilding (mfg.),339
Television program production,657
Television program rating service,749
"Television repair, exc. at retail stores",879
Television sales and service (ret.),479
Television sets (mfg.),337
Television sets (ret.),479
Television sets (whsl.),419
Television show syndicators,657
Television speakers (mfg.),337
Television station,667
Television subscription,667
Television time sales,747
Television towers (mfg.),287
Television translator stations,667
Television transmitting apparatus (mfg.),337
Television transmitting towers (const.),077
"Television tube blanks, glass (mfg.)",249
Television tubes (mfg.),339
Television tubes (whsl.),419
"Television, closed circuit",667
Telewriters (mfg.),337
Telluride (ext.),039
Tellurium refining (mfg.),269
Temperance association,917
Temperance league,917
Temperance organizations,917
Temperature control devices (mfg.),338
Temperature gauges (mfg.),338
"Templates, drafting (mfg.)",338
"Temple, church",916
Temporary employment agency,758
Temporary help business service,758
Temporary help contractors,758
Ten pin centers,858
Tenants' council,919
Tenants' self-help association,919
Tenement house operation,707
Tennis balls (mfg.),397
Tennis club,859
Tennis court (const.),077
Tennis court operation,859
Tennis equipment (mfg.),397
Tennis equipment (ret.),527
Tennis frames (mfg.),397
Tennis goods (mfg.),397
Tennis goods (ret.),527
"Tennis instruction, camps or schools",789
Tennis nets (mfg.),397
Tennis racket strings (mfg.),397
Tennis rackets (mfg.),397
Tennis shoes (mfg.),177
"Tennis, professional players",856
Tenoners (mfg.),319
Tent grounds,867
"Tent poles, metal (mfg.)",287
"Tent poles, wooden (mfg.)",387
Tent shop (ret.),558
Tents (mfg.),159
Tents (ret.),558
"Terminal and switching, railroad",608
"Terminal co., not operated by railroad",629
"Terminal operation, waterfront",629
"Terminal services, airport",629
"Terminal, freight trucking",617
"Terminal, passenger bus",618
"Terminal, railroad",608
"Terminal, trucking, independent of truck co.",629
Terminals for electrical devices (mfg.),349
"Terminals, computer (mfg.)",336
Termite control,769
Terneplate (mfg.),267
"Ternes, iron or steel (mfg.)",267
Terra cotta (mfg.),248
Terra cotta (whsl.),409
Terracing farm (const.),077
Terracing service (const.),077
Terrapin catching,028
Terrazo contracting co. (const.),077
Terrazzo floor tile (mfg.),257
Terrazzo floors (const.),077
Terrazzo products (mfg.),257
Terrazzo sheets (mfg.),257
Terrazzo steps (mfg.),257
Terrazzo tile (mfg.),257
Terrazzo work (const.),077
Terry woven fabrics (mfg.),148
"Test charts, opthalmic (mfg.)",396
"Test development and evaluation services, educational",789
Test drilling services for mining (ext.),049
"Test equipment, electrical and non-electrical (mfg.)",338
"Test sets, ignition harness (mfg.)",338
"Test tubes, glass (mfg.)",249
"Testing and measuring equipment, electrical, exc. automotive (whsl.)",427
"Testing laboratories or services, medical",818
"Testing laboratories or services, veterinary",748
"Testing laboratory, service, exc. medical or veterinary",729
"Testing machines, exc. laboratory type (mfg.)",319
"Testing machines, laboratory type (mfg.)",338
"Testing services, educational",789
"Tests, prepared for school and industry",746
Textile (mfg.),148
"Textile bags, fabric (mfg.)",159
Textile binding (whsl.),439
Textile carding machines (mfg.),319
Textile combing machines (mfg.),319
Textile converters (mfg.),149
Textile designing service,737
"Textile dishcloths, nonwoven (mfg.)",159
Textile drawing frames (mfg.),319
"Textile dying, exc. knit",149
Textile engraving (mfg.),199
"Textile fibers, exc. glass (mfg.)",217
"Textile fibers, glass (mfg.)",249
"Textile finishing, exc. knit (mfg.)",149
"Textile finishing, knit (mfg.)",167
Textile folding and packing,778
Textile harness (mfg.),319
"Textile insignia, military (mfg.)",159
Textile jobbers (whsl.),439
Textile loopers (mfg.),319
Textile machine aprons (mfg.),179
Textile machinery (mfg.),319
Textile machinery (whsl.),427
Textile machinery parts (mfg.),319
"Textile marking stamps, hand (mfg.)",398
"Textile napkins, nonwoven (mfg.)",159
"Textile painting, hand",737
Textile printing (mfg.),149
Textile printing machines (mfg.),319
Textile printing screens (mfg.),199
Textile reclaiming (mfg.),159
Textile reweaving,888
Textile roll covering service,887
"Textile sheets, nonwoven (mfg.)",159
Textile tape (whsl.),439
"Textile towels, nonwoven (mfg.)",159
Textile twisting frames (mfg.),319
Textile warehousing,639
Textile waste (whsl.),428
Textile waste recovery (mfg.),159
Textiles (whsl.),439
Theater \ n.s.,657
Theater circuit co.,856
Theater equipment (whsl.),417
Theater furniture (mfg.),389
Theater operation,856
Theater programs (ret.),558
Theater scenery (mfg.),398
Theater ticket agency,767
"Theater, acting or stage occupations",856
"Theater, live production",856
"Theater, motion picture",657
"Theater, movie, concession stand",657
"Theater, outdoor, exc. motion picture",856
"Theater, outdoor, motion picture",657
"Theater, property operation, rental or leasing",707
Theatrical agents,856
Theatrical booking agency,856
Theatrical costumes (mfg.),168
Theatrical employment agency,758
Theatrical lighting by contract,856
Theatrical production,856
Theatrical scenery (mfg.),398
Theatrical scenery design,856
Theatrical stage production,856
Theatrical stock co.,856
Theatrical ticket agency,767
Theme park,859
Theological college,787
Theological school,787
Theological seminary,787
Therapeutic lamps (mfg.),338
Therapeutic x-ray apparatus (mfg.),338
Thermistors (mfg.),339
Thermite (mfg.),268
"Thermoelectric devices, solid state (mfg.)",349
Thermography (mfg.),199
"Thermometers, exc. medical (mfg.)",338
"Thermometers, medical (mfg.)",396
Thermoplastic coated paper (mfg.),189
Thermos bottles (mfg.),287
Thermostatic controls (mfg.),338
Thermostats (mfg.),338
Thistle eradication,029
Thorium ore (ext.),039
Thoroughbred cattle registration,029
Thousand island dressing (mfg.),128
Thread (mfg.),147
Thread bleaching (mfg.),149
Thread cotton (mfg.),147
"Thread, exc. industrial (whsl.)",439
"Thread, industrial (whsl.)",427
"Thread, rubber, exc. fabric-covered (mfg.)",239
"Thread, rubber, fabric-covered (mfg.)",147
Threading machines (mfg.),317
Threshing machines (mfg.),307
Threshing service,029
"Thresholds, terrazzo (mfg.)",257
Thrift store (ret.),549
Throwing and twisting of yarn (mfg.),147
Thyroid preparations (mfg.),219
Tick eradication,029
"Ticker service, news",678
Ticket (e.g. theatrical) sales agencies,767
"Ticket (e.g., amusement, sports) sales agencies",767
"Ticket agencies, amusement, sporting",767
"Ticket agencies, amusement, theatrical",767
"Ticket agency, sporting events",767
"Ticket agency, theatrical",767
"Ticket brokers, sports",767
"Ticket brokers, theatrical",767
Ticket counting machines (mfg.),309
"Ticket office, airline",767
"Ticket office, ferryboat co.",609
"Ticket office, sightseeing bus co.",767
"Ticket office, sporting events",767
"Ticket office, steamship co.",767
"Ticket office, transportation (e.g. air, bus, ship, railroad)",767
"Ticket office, travel agency",767
Ticketron,767
"Tickets, lithographed (mfg.)",199
"Tickets, printed (mfg.)",199
Tie plates (mfg.),267
Tie plates (whsl.),418
"Tie rods, motor vehicle (mfg.)",357
"Tie tapes, braided (mfg.)",148
"Tie tapes, woven (mfg.)",148
Tie treating (mfg.),377
Tierces cooperage (mfg.),387
"Ties, bale, metal (mfg.)",298
"Ties, concete, railroad (mfg.)",257
"Ties, hewn (whsl.)",429
"Ties, neckwear (whsl.)",439
"Ties, neckwear, exc. knit (mfg.)",169
"Ties, neckwear, knit (mfg.)",167
"Ties, railroad, hewn",027
"Ties, railroad, preserving (mfg.)",377
"Ties, railroad, sawed (mfg.)",377
"Ties, wooden (mfg.)",377
Tiff (ext.),047
Tile (ret.),487
Tile (whsl.),409
Tile building clay (mfg.),248
Tile contracting co. (const.),077
Tile dealer (ret.),487
Tile dealer (whsl.),409
Tile making machines (mfg.),319
"Tile setting, contractors (const.)",077
"Tile, acoustical (mfg.)",259
"Tile, asphalt (mfg.)",259
"Tile, asphalt, floor (mfg.)",259
"Tile, ceramic (mfg.)",248
"Tile, clay (mfg.)",248
"Tile, conduit (mfg.)",248
"Tile, cork (mfg.)",387
"Tile, corncrib, clay (mfg.)",248
"Tile, drain, clay (mfg.)",248
"Tile, drain, concrete (mfg.)",257
"Tile, enamel (mfg.)",248
"Tile, enameled masonite (mfg.)",189
"Tile, faience (mfg.)",248
"Tile, fiber board (mfg.)",187
"Tile, fire, clay (mfg.)",248
"Tile, fireproofing, clay (mfg.)",248
"Tile, furring, clay (mfg.)",248
"Tile, glazed (mfg.)",248
"Tile, gypsum (mfg.)",257
"Tile, hollow building (mfg.)",248
"Tile, metal (mfg.)",278
"Tile, plastic (mfg.)",237
"Tile, rubber (mfg.)",237
"Tile, sand lime (mfg.)",259
"Tile, terrazzo (mfg.)",257
"Tile, unglazed (mfg.)",248
"Tile, yard (mfg.)",248
Timber booming,027
Timber buying (whsl.),429
Timber camp,027
Timber cruising,029
Timber estimating,029
"Timber land, logging",027
Timber piling,027
Timber products (whsl.),429
Timber stand,019
Timber tract,019
Timber valuation service,029
"Timber, hewn",027
"Timbers, structural, exc. treated (mfg.)",377
"Timbers, structural, glue laminated, or pre-engine",378
"Timbers, structural, treated (mfg.)",377
Time clocks (mfg.),338
Time locks (mfg.),338
"Time measuring and counting equipment, electrical (mfg.)",338
Time recorders (mfg.),338
Time recording cards (mfg.),189
Time recording equipment (mfg.),338
Time recording machines (whsl.),417
Time service,778
"Time share exchange services, condominium",767
Time sharing real estate,767
Time stamps (mfg.),338
Time switches (whsl.),419
"Timers, industrial (mfg.)",338
"Timers, revolution (mfg.)",338
"Timing devices, electronic (mfg.)",349
"Timing devices, solid-state (mfg.)",338
"Timing motors, electric (mfg.)",349
Timing relays (mfg.),349
"Timing switches, electical or electronic  (mfg.)",349
Tin (ext.),039
Tin bars (mfg.),269
Tin boxes (mfg.),298
Tin buckets (mfg.),298
Tin cans (mfg.),287
Tin compounds (mfg.),229
Tin foil (mfg.),298
Tin ore (ext.),039
Tin pails (mfg.),298
Tin pans (mfg.),298
Tin pipe (mfg.),269
Tin plate (mfg.),267
Tin rods (mfg.),269
Tin rolling and drawing (mfg.),269
Tin roofing (const.),077
Tin sheet (mfg.),269
Tin smelting and refining (mfg.),269
Tin strip (mfg.),269
Tin tubing (mfg.),269
"Tinctures, pharmaceutical (mfg.)",219
Tinners hand tools (mfg.),279
Tinners snips (mfg.),279
Tinning (const.),077
Tinsel (mfg.),398
Tinsmithing (const.),077
Tinware (mfg.),298
Tinware (whsl.),418
Tip printing on fabric (mfg.),199
Tipple (const.),077
"Tips, shoe (mfg.)",179
Tire chains (mfg.),298
Tire cord (mfg.),159
Tire covers (mfg.),357
Tire fabrics (mfg.),159
Tire gages (mfg.),338
Tire inflators (mfg.),319
Tire molds (mfg.),317
Tire recapping machinery (whsl.),427
Tire recapping shop,238
Tire repair materials (whsl.),407
"Tire repair materials, rubber (mfg.)",238
Tire retreading materials (mfg.),238
Tire sales (ret.),469
Tire sales and services (ret.),469
"Tire sundries, rubber (mfg.)",238
Tire valve cores (mfg.),357
Tire vulcanizing shop,238
Tires (ret.),469
Tires (whsl.),407
Tires and tubes (whsl.),407
"Tires, plastic (mfg.)",237
"Tires, rebuilt (mfg.)",238
"Tires, rubber (mfg.)",238
"Tires, secondhand (ret.)",549
"Tissue dispensers, plastic (mfg.)",237
Tissue paper (mfg.),187
Titania porcelain insulators (mfg.),247
Titanium (ext.),039
Titanium bars (mfg.),269
Titanium billets (mfg.),269
Titanium castings (mfg.),269
Titanium granules (mfg.),269
Titanium ore (ext.),039
Titanium rods (mfg.),269
Titanium sheets (mfg.),269
Titanium strip (mfg.),269
Titanium tubing (mfg.),269
Title abstract co.,727
Title and trust co.,727
Title guaranty co.,699
Title insurance co.,699
Title protection insurance,699
Title searching,727
"Titlers, motion picture film (mfg.)",309
Titling of motion picture film,657
"Toasters, electric (mfg.)",347
"Toasters, electric (whsl.)",419
Tobacco (mfg.),139
Tobacco (ret.),558
Tobacco auction warehouse (whsl.),448
Tobacco auctioneering (whsl.),448
Tobacco buying (whsl.),448
Tobacco cloths (mfg.),148
Tobacco curers (mfg.),307
"Tobacco exporters, exc. leaf (whsl.)",458
"Tobacco exporters, leaf (whsl.)",448
"Tobacco grading, contract",029
Tobacco growing and warehousing,017
Tobacco hogsheads (mfg.),387
"Tobacco jars, glass (mfg.)",249
Tobacco manufacturing machines (mfg.),319
Tobacco marketing association (whsl.),448
Tobacco pouches (mfg.),179
Tobacco products (whsl.),458
Tobacco products machinery (mfg.),319
Tobacco shop (ret.),558
Tobacco stemmery (mfg.),139
Tobacco warehouse (whsl.),448
"Tobacco warehouse, storage",639
"Tobacco, exc. leaf (whsl.)",458
"Tobacco, loose floor (whsl.)",448
"Tobacco, loose leaf (whsl.)",448
Tobacconist (ret.),558
Toboggans (mfg.),397
Toe caps (mfg.),179
Toggery (ret.),517
Toggle bolts (mfg.),288
Toilet articles (ret.),558
Toilet articles (whsl.),438
"Toilet bowls, china (mfg.)",247
"Toilet bowls, metal (mfg.)",298
Toilet brushes (mfg.),398
Toilet cases (mfg.),179
Toilet creams (mfg.),228
"Toilet fixtures, china (mfg.)",247
"Toilet fixtures, metal (mfg.)",298
"Toilet fixtures, plastics (mfg.)",237
Toilet kits (mfg.),179
Toilet paper (mfg.),189
Toilet preparations (mfg.),228
Toilet preparations (ret.),558
Toilet preparations (whsl.),438
Toilet seats (mfg.),387
Toilet soap (mfg.),228
Toilet soap (whsl.),438
Toilet ware (mfg.),398
Toilet water (mfg.),228
Toiletries (mfg.),228
Toiletries (whsl.),438
"Toll booths, automatic (mfg.)",338
Toll bridge,629
Toll gate,629
Toll highway or road,629
Toll road operation,629
Tomato cocktail (mfg.),109
Tomato juice (mfg.),109
Tomato paste (mfg.),109
Tomato sauce (mfg.),109
Tombstones (ret.),558
"Tombstones, concrete (mfg.)",257
"Tombstones, precast terrazzo (mfg.)",257
"Tombstones, stone (mfg.)",259
Tomography laboratory,818
Toner cartridges (mfg.),229
"Tonometers, medical (mfg.)",396
Tool and die (mfg.),317
"Tool boxes, metal (mfg.)",278
"Tool boxes, plastics (mfg.)",237
"Tool boxes, wood (mfg.)",387
Tool cabinets (mfg.),389
"Tool chests, metal (mfg.)",278
"Tool chests, wood (mfg.)",387
Tool designing service,737
"Tool handles, plastic (mfg.)",237
"Tool handles, rubber (mfg.)",239
"Tool handles, wood (mfg.)",387
Tool holders (mfg.),317
Tool jobbing shop (mfg.),317
Tool sharpening and repair service,887
Tool sharpening service,887
Tool stands (mfg.),389
Tool steel (mfg.),267
Tools \ n.s. (ret.),488
Tools \ n.s. (whsl.),426
"Tools and equipment, motor vehicle (whsl.)",407
"Tools, cutting machines (mfg.)",317
"Tools, dentists (mfg.)",396
"Tools, edge, woodworking (mfg.)",279
"Tools, electric (mfg.)",317
"Tools, engravers' (mfg.)",279
"Tools, hand (ret.)",488
"Tools, hand (whsl.)",426
"Tools, hand held, non-electric \ any not listed (mfg.)",279
"Tools, hand, exc. power driven (mfg.)",279
"Tools, hand, power driven (mfg.)",319
"Tools, machine (whsl.)",427
"Tools, pruning (mfg.)",279
"Tools, tinners (mfg.)",279
"Tools, well drilling (mfg.)",308
Tooth paste (mfg.),228
Tooth powder (mfg.),228
"Toothbrushes, electric (whsl.)",419
"Toothbrushes, exc. electric (mfg.)",398
"Toothbrushes, exc. electric (whsl.)",438
Toothpaste tubes (mfg.),298
"Toothpicks, wooden (mfg.)",387
"Top lift sheets, rubber (mfg.)",239
"Top lifts, boot (mfg.)",179
"Top lifts, leather (mfg.)",179
"Top lifts, rubber (mfg.)",239
"Top lifts, shoe (mfg.)",179
"Top shop, auto",877
Topaz (ext.),047
Topcoats (mfg.),168
Topographical survey,729
"Tops, auto (mfg.)",357
"Tops, auto, metal (mfg.)",357
"Tops, bottle, metal (mfg.)",278
"Tops, bottle, paper or paperboard (mfg.)",189
"Tops, glass (mfg.)",249
"Tops, textile (mfg.)",159
"Tops, truck (mfg.)",357
Topsoil (ret.),489
"Torches, fireworks (mfg.)",229
"Torches, patio (mfg.)",349
Torpedo directors (mfg.),297
Torpedoes (mfg.),297
Torsion testing machines (mfg.),338
"Tortillas, canned (mfg.)",109
"Tortillas, exc. canned (mfg.)",127
Toupees (mfg.),398
"Tourism--See ""Tours""",
Tourist attractions,859
Tourist cabins,866
"Tourist cabins and service station, motel occupations",866
"Tourist cabins and service station, other occupations",509
Tourist camp,867
Tourist court,866
Tourist guide,859
Tourist home,867
Tourist information agency,767
Tourist information services,767
"Tours, conducted, sightseeing boats",628
"Tours, conducted, sightseeing buses",628
Tow (mfg.),159
Tow filling (mfg.),159
Tow targets (mfg.),358
Tow-in parking lots,909
Towboat building (mfg.),368
Towboat operation,629
Towboat repairing (mfg.),629
Towel and apron service,907
Towel supply service,907
"Towelettes, pre-moistened (mfg.)",228
"Toweling, exc. linen and paper (mfg.)",148
"Toweling, paper (mfg.)",187
Towels \ any not listed (mfg.),159
"Towels, knit (mfg.)",167
"Towels, paper (mfg.)",189
"Towels, paper (whsl.)",437
"Towels, terry cloth (mfg.)",148
"Towers, exc. windmill (mfg.)",287
"Towers, windmill (mfg.)",307
"Towing service, auto",629
"Towing service, ship",629
"Town--See ""City""",
"Township--See ""City""",
Toxic waste dump,779
Toxins (mfg.),219
Toxoids (mfg.),219
"Toy balloons, plastic (mfg.)",237
"Toy balloons, rubber (mfg.)",239
Toy blocks (mfg.),397
Toy furniture (mfg.),397
Toy gun caps (mfg.),229
Toy guns (mfg.),397
Toy lending center,778
Toy library,778
Toy musical instruments (mfg.),397
Toy parties (ret.),569
Toy pistol caps (mfg.),229
Toy pistols (mfg.),397
Toy store (ret.),527
Toy trains (mfg.),397
Toy transformers (mfg.),349
Toys (ret.),527
Toys (whsl.),429
"Toys, exc. rubber (mfg.)",397
"Toys, rubber (mfg.)",239
"Track athletic equipment, apparel, exc. knit (mfg.)",168
"Track athletic equipment, exc. apparel (mfg.)",397
"Trackless trolley, transportation",618
Traction co.,618
Tractor cabs (mfg.),357
Tractor inner tubes (mfg.),238
"Tractors, agricultural (mfg.)",307
"Tractors, construction (mfg.)",308
"Tractors, exc. truck sales or service (whsl.)",427
"Tractors, farm (mfg.)",307
"Tractors, farm, sales or service (ret.)",489
"Tractors, farm, sales or service (whsl.)",427
"Tractors, garden (mfg.)",307
"Tractors, industrial (mfg.)",319
"Tractors, truck (mfg.)",357
"Tractors, truck, sales or service (whsl.)",407
Trade association,919
Trade center,707
"Trade fair or show managers, organizers, and promoters",778
Trade journals publishing,648
Trade school \ n.s.,788
Trade union,918
Trademark licensing,719
"Traders, commodity contract",697
"Traders, security",697
"Trading co., commodity",697
"Trading co., securities",697
Trading post (ret.),539
Trading stamp co.,778
Trading stamp promotion,778
Traffic consultant's office,729
Traffic engineering consulting services,729
Traffic lane painting (const.),077
Traffic rate service,739
"Traffic signals, electric (mfg.)",337
Trailer \ any not listed (ret.),468
Trailer camp,867
"Trailer coaches, auto (mfg.)",357
Trailer court,867
Trailer park,867
Trailer park rental,707
Trailer rental,708
Trailer truck transportation co.,617
"Trailer, auto or truck, repair",877
"Trailers, auto (ret.)",468
"Trailers, auto or truck (mfg.)",357
"Trailers, farm (mfg.)",307
"Trailers, horse (mfg.)",357
"Trailers, house (mfg.)",357
"Trailers, industrial (whsl.)",427
"Trailers, industrial, truck (mfg.)",308
"Trailers, motor truck (mfg.)",357
"Trailers, passenger car (ret.)",468
"Trailers, passenger car (whsl.)",407
"Trailers, truck (whsl.)",407
Train schedules (mfg.),648
Training animals for racing,856
"Training animals, exc. racing",909
Training center for retarded adults,839
Training center for retarded children,786
"Training devices, electronic (mfg.)",309
"Training horses, exc. racing",029
Training race dogs,856
Training racehorses,856
"Trains, toy (mfg.)",397
Trampoline operation,859
"Tramway, exc. scenic, sightseeing",618
"Tramway, scenic",628
"Tramway, scenic, sightseeing",628
"Tramways, aerial amusement",628
Tranquilizers preparations (mfg.),219
Transceiver communication equipment (mfg.),337
Transcription service,759
"Transducers, electrical (mfg.)",349
"Transducers, electronic (mfg.)",339
"Transducers, pressure (mfg.)",338
Transfer agents service,629
"Transfer agents, securities",697
Transfer and express service,617
"Transfer and storage, household goods",617
Transfer boat,629
Transfer co.,617
"Transfer co., local",617
"Transfer co., long distance",617
"Transfer co., trucking",617
Transfer paper (mfg.),189
Transferring designs lithographing (mfg.),199
"Transfers, decalcomania (mfg.)",199
"Transformations, hair (mfg.)",398
Transformers \ n.s. (mfg.),349
"Transformers, electric (whsl.)",419
"Transformers, electric power (mfg.)",349
"Transformers, instrument (mfg.)",338
"Transformers, reactor (mfg.)",349
"Transformers, toy (mfg.)",349
Transient hotel,866
Transient rooms,867
Transistors (mfg.),339
Transit bus,618
